id	title	author	author_norm	GND	date	series	genre	publisher	license	tokenCount				
k00300000051	Heiße Küsse für den Prinzen	Raye Morgan	Morgan, Raye		2015	Julia	liebe	Cora	restricted	21685				
k00300000052	Küss mich in der Toskana!	Caroline Anderson	Anderson, Caroline		2015	Julia	liebe	Cora	restricted	45165				
k00300000053	Ein Boss zum Verlieben	Caitlin Crews	Crews, Caitlin		2015	Julia	liebe	Cora	restricted	39372				
k00300000054	Folge mir auf mein Schloss!	Sara Craven	Craven, Sara		2015	Julia	liebe	Cora	restricted	40344				
k00300000055	Geheime Leidenschaft am Mittelmeer	Rebecca Winters	Winters, Rebecca		2015	Julia	liebe	Cora	restricted	41430				
k00300000056	Heiße Winternächte in Paris	Melanie Milburne	Milburne, Melanie		2015	Julia	liebe	Cora	restricted	43356				
k00300000057	Ein Prinz zum Fest der Liebe	Jennifer Faye	Faye, Jennifer		2015	Julia	liebe	Cora	restricted	41629				
k00300000058	Wiedersehen unterm Mistelzweig	Cara Colter	Colter, Cara		2015	Julia	liebe	Cora	restricted	43765				
k00300000059	Zimtküsse und ein Heiratsantrag	Kate Hardy	Hardy, Kate		2015	Julia	liebe	Cora	restricted	50849				
k00300000060	Blitzhochzeit in Griechenland	Kate Hewitt	Hewitt, Kate		2015	Julia	liebe	Cora	restricted	42016				
k00300000061	Sizilianisches Spiel mit dem Feuer	Rebecca Winters	Winters, Rebecca		2015	Julia	liebe	Cora	restricted	41476				
k00300000062	Verbotene Überstunden mit dem Boss	Cathy Williams	Williams, Cathy		2015	Julia	liebe	Cora	restricted	41791				
k00300000063	Was ein Milliardär nicht kaufen kann	Carole Mortimer	Mortimer, Carole		2015	Julia	liebe	Cora	restricted	40450				
k00300000064	Flitterwochen mit Verspätung	Kate Hewitt	Hewitt, Kate		2016	Julia	liebe	Cora	restricted	42861				
k00300000065	Mit dir ins Paradies und zurück	Kandy Shepherd	Shepherd, Kandy		2016	Julia	liebe	Cora	restricted	39481				
k00300000066	Wie zähmt man seinen Boss?	Carole Mortimer	Mortimer, Carole		2016	Julia	liebe	Cora	restricted	41200				
k00300000067	Im Bann der süßen Sinnlichkeit	Fiona Brand	Brand, Fiona		2016	Julia	liebe	Cora	restricted	38606				
k00300000068	So betört von deiner Liebe	Jennifer Taylor	Taylor, Jennifer		2016	Julia	liebe	Cora	restricted	41112				
k00300000069	Verbotene Träume des Glücks	Caitlin Crews	Crews, Caitlin		2016	Julia	liebe	Cora	restricted	39792				
k00300000070	Die verbotene Sehnsucht der Wüstenprinzessin	Annie West	West, Annie		2016	Julia	liebe	Cora	restricted	42321				
k00300000071	Heiße Küsse im tiefen Schnee	Cathy Williams	Williams, Cathy		2016	Julia	liebe	Cora	restricted	41835				
k00300000072	Liebesnacht mit einem Playboymillionär	Sharon Kendrick	Kendrick, Sharon		2016	Julia	liebe	Cora	restricted	42240				
k00300000073	Unterwegs mit dir ins große Glück	Nikki Logan	Logan, Nikki		2016	Julia	liebe	Cora	restricted	43900				
k00300000074	Der süße Duft der Sehnsucht	Rebecca Winters	Winters, Rebecca		2016	Julia	liebe	Cora	restricted	42467				
k00300000075	Insel unserer Leidenschaft	Lynne Graham	Graham, Lynne		2016	Julia	liebe	Cora	restricted	41162				
k00300000076	Neues Glück in den Armen des stolzen Spaniers?	Michelle Smart	Smart, Michelle		2016	Julia	liebe	Cora	restricted	43116				
k00300000077	Wie widersteht man diesem Boss?	Jennifer Hayward	Hayward, Jennifer		2016	Julia	liebe	Cora	restricted	40986				
k00300000078	Die weiße Jacht des Milliardärs	Jennifer Hayward	Hayward, Jennifer		2016	Julia	liebe	Cora	restricted	41985				
k00300000079	Meine Königin der Nacht	Lynne Graham	Graham, Lynne		2016	Julia	liebe	Cora	restricted	41441				
k00300000080	Tausend Küsse in der Toskana	Sophie Pembroke	Pembroke, Sophie		2016	Julia	liebe	Cora	restricted	43045				
k00300000081	Vorhang auf für die große Liebe!	Kate Hardy	Hardy, Kate		2016	Julia	liebe	Cora	restricted	41651				
k00300000082	Auf der Jacht des griechischen Tycoons	Lynne Graham	Graham, Lynne		2016	Julia	liebe	Cora	restricted	41864				
k00300000083	Heirate lieber mich!	Sharon Kendrick	Kendrick, Sharon		2016	Julia	liebe	Cora	restricted	42615				
k00300000084	Mein italienischer Traummann	Jennifer Faye	Faye, Jennifer		2016	Julia	liebe	Cora	restricted	42174				
k00300000085	Tausend Sterne über der Wüste	Kate Hewitt	Hewitt, Kate		2016	Julia	liebe	Cora	restricted	43314				
k00300000086	Die Geliebte des griechischen Milliardärs	Lynne Graham	Graham, Lynne		2016	Julia	liebe	Cora	restricted	44623				
k00300000087	Ein Bräutigam zum Küssen	Carol Marinelli	Marinelli, Carol		2016	Julia	liebe	Cora	restricted	41260				
k00300000088	Nur ein Traum vom großen Glück?	Jackie Braun	Braun, Jackie		2016	Julia	liebe	Cora	restricted	42034				
k00300000089	Wie zähmt man einen Playboy-Scheich?	Chantelle Shaw	Shaw, Chantelle		2016	Julia	liebe	Cora	restricted	41685				
k00300000090	Gefangene deines Herzens	Michelle Conder	Conder, Michelle		2016	Julia	liebe	Cora	restricted	45865				
k00300000091	Im Bann des reichen Playboys	Sophie Pembroke	Pembroke, Sophie		2016	Julia	liebe	Cora	restricted	43030				
k00300000092	Karibische Nächte der Sehnsucht	Kat Cantrell	Cantrell, Kat		2016	Julia	liebe	Cora	restricted	43336				
k00300000093	Brennende Sehnsucht nach deinen Küssen	Michelle Douglas	Douglas, Michelle		2016	Julia	liebe	Cora	restricted	43689				
k00300000094	Die Geliebte des Diamanten-Millionärs	Chantelle Shaw	Shaw, Chantelle		2016	Julia	liebe	Cora	restricted	41116				
k00300000095	Für uns soll’s rote Rosen regnen	Cathy Williams	Williams, Cathy		2016	Julia	liebe	Cora	restricted	42432				
